user_id,thing_id,amount,total_sum,labels
1,504,36,9043,1
2,487,34,9660,1
3,809,61,18676,2
4,326,21,5631,1
5,451,31,8810,1
6,947,45,15307,2
7,537,33,8545,1
8,577,38,11632,0
9,894,51,15891,2
10,699,53,14606,2
11,504,34,7973,1
12,549,35,11241,0
13,601,35,9144,1
14,545,51,12835,0
15,626,48,13411,0
16,543,31,11644,0
17,537,40,11319,0
18,835,58,14078,2
19,629,51,11167,0
20,343,30,9430,1
21,637,45,11070,0
22,417,38,11237,1
23,469,26,7381,1
24,383,38,8346,1
25,599,41,13181,0
26,615,38,11102,0
27,463,37,9565,1
28,473,32,9447,1
29,667,40,9026,0
30,598,42,11694,0
31,875,45,11934,2
32,641,39,9150,0
33,441,31,8942,1
34,403,31,9006,1
35,758,52,13657,2
36,632,43,11658,0
37,656,30,11228,0
38,586,47,10129,0
39,691,61,16899,2
40,504,41,11486,0
41,501,34,10140,1
42,607,40,11950,0
43,447,33,11100,1
44,354,29,8287,1
45,812,49,10935,0
46,415,27,8970,1
47,461,31,7127,1
48,393,31,8227,1
49,371,34,10527,1
50,721,59,15984,2
51,779,56,13652,2
52,546,42,13909,0
53,705,53,14014,2
54,390,32,8902,1
55,575,39,8927,0
56,722,46,14844,2
57,524,34,12591,0
58,862,55,15911,2
59,747,53,13626,2
60,322,26,9300,1
61,778,46,14063,2
62,525,36,7772,1
63,622,51,15672,2
64,412,28,9691,1
65,484,41,8793,1
66,618,39,10595,0
67,604,40,9831,0
68,747,50,15790,2
69,500,39,9110,1
70,923,52,15483,2
71,788,60,14204,2
72,849,51,12817,2
73,682,40,13326,0
74,434,34,10023,1
75,578,46,9986,0
76,483,26,6970,1
77,461,23,8609,1
78,699,41,10264,0
79,753,50,10074,0
80,518,42,12563,0
81,628,43,11240,0
82,719,47,12725,0
83,641,49,14703,2
84,751,51,16133,2
85,694,44,11320,0
86,733,54,16107,2
87,632,50,13551,0
88,875,58,16224,2
89,795,42,12723,0
90,579,45,12166,0
91,646,37,13806,0
92,472,27,7973,1
93,505,30,8760,1
94,439,36,10089,1
95,576,29,9550,1
96,905,70,18787,2
97,925,58,19297,2
98,631,43,13830,0
99,895,41,11881,2
100,429,25,7229,1
101,874,50,13337,2
102,976,67,19763,2
103,612,46,12731,0
104,553,41,10051,0
105,694,45,12660,0
106,473,33,8568,1
107,934,72,19245,2
108,581,36,9545,0
109,520,38,9381,1
110,593,39,8355,0
111,438,22,8746,1
112,502,30,9461,1
113,604,37,9352,0
114,730,50,11014,0
115,1067,67,19000,2
116,638,41,12217,0
117,675,46,14413,2
118,911,64,17379,2
119,418,28,10431,1
120,613,36,9983,0
121,497,31,6965,1
122,437,35,8439,1
123,769,53,16810,2
124,517,37,10565,0
125,367,33,9031,1
126,952,58,16094,2
127,646,43,13353,0
128,595,48,12345,0
129,670,36,9009,0
130,591,42,11499,0
131,794,49,13799,2
132,734,57,12268,2
133,581,40,10425,0
134,457,31,7408,1
135,903,55,15903,2
136,560,53,13924,0
137,462,26,9113,1
138,692,61,17495,2
139,719,39,10239,0
140,571,42,11540,0
141,703,54,13508,2
142,833,51,14580,2
143,719,34,11500,0
144,895,61,15760,2
145,439,47,10004,0
146,651,49,15182,2
147,615,38,9622,0
148,620,35,11230,0
149,499,36,9998,1
150,606,35,9738,0
151,663,31,11855,0
152,518,31,9875,1
153,566,39,9814,0
154,672,46,12149,0
155,636,41,7619,0
156,802,48,9949,0
157,281,29,8420,1
158,330,25,7499,1
159,493,42,8461,1
160,486,45,9357,0
161,844,40,13215,2
162,502,37,10742,0
163,1164,72,20409,2
164,800,57,16966,2
165,760,47,13694,2
166,610,36,13765,0
167,675,51,11684,0
168,627,43,11198,0
169,532,44,13912,0
170,741,46,11930,0
171,310,25,5156,1
172,465,32,8265,1
173,398,36,11966,1
174,492,35,7900,1
175,558,38,12699,0
176,422,25,6765,1
177,622,46,11859,0
178,306,24,7281,1
179,501,36,8889,1
180,375,23,7795,1
181,388,32,7574,1
182,477,30,10282,1
183,704,55,13264,2
184,460,31,8788,1
185,524,42,9811,0
186,427,39,8898,1
187,579,42,11906,0
188,412,32,7685,1
189,611,48,14879,0
190,604,39,11787,0
191,640,40,12286,0
192,527,32,11061,1
193,674,47,11215,0
194,687,45,11146,0
195,506,34,14631,0
196,684,41,13468,0
197,552,45,13825,0
198,415,38,9125,1
199,702,57,14838,2
200,655,39,10898,0
201,624,42,10626,0
202,598,42,11350,0
203,786,43,11806,0
204,486,28,9938,1
205,689,42,15140,0
206,596,48,13526,0
207,678,50,13331,2
208,682,51,10554,0
209,428,23,8060,1
210,595,41,12002,0
211,834,57,15647,2
212,268,26,6413,1
213,349,29,7677,1
214,561,35,11068,0
215,321,33,7283,1
216,396,35,9564,1
217,784,47,11972,0
218,478,34,9836,1
219,605,42,15135,0
220,574,33,9203,1
221,502,37,10505,0
222,527,28,8452,1
223,573,39,10899,0
224,664,51,14822,2
225,616,56,15178,2
226,608,36,10195,0
227,609,40,11099,0
228,416,36,8893,1
229,756,45,14268,2
230,504,43,10791,0
231,623,52,16487,2
232,613,36,9818,0
233,455,38,8509,1
234,547,37,10779,0
235,795,57,17329,2
236,871,57,15837,2
237,767,68,17764,2
238,585,41,13036,0
239,315,27,8131,1
240,511,43,12862,0
241,549,43,12253,0
242,590,41,13616,0
243,511,34,9996,1
244,713,48,14443,2
245,568,33,8695,1
246,732,53,11120,0
247,621,35,10215,0
248,572,36,9651,0
249,465,37,10131,1
250,579,42,11417,0
251,608,44,11315,0
252,353,23,5252,1
253,769,51,15470,2
254,563,46,13731,0
255,502,36,9884,1
256,518,44,10158,0
257,515,35,12452,0
258,415,25,7952,1
259,586,42,11814,0
260,510,43,12209,0
261,646,54,15847,2
262,521,46,10707,0
263,675,44,11640,0
264,941,64,18540,2
265,455,37,10675,1
266,545,44,11368,0
267,418,23,7416,1
268,522,42,9122,0
269,399,26,7138,1
270,493,32,11702,1
271,622,41,9342,0
272,622,46,12952,0
273,409,32,9562,1
274,609,43,12596,0
275,573,37,11875,0
276,275,34,6649,1
277,647,44,12546,0
278,617,37,13282,0
279,639,41,14655,0
280,304,24,6678,1
281,764,49,13873,2
282,558,41,12619,0
283,971,66,16088,2
284,421,31,8303,1
285,571,39,10018,0
286,532,33,9386,1
287,478,33,6930,1
